,Year,Precipitation
0,1886,718.0
1,1887,642.1
2,1888,590.4
3,1889,875.8
4,1890,448.7
5,1891,875.9
6,1892,715.7
7,1893,545.3
8,1894,695.0
9,1895,436.4
10,1896,846.5
11,1897,799.4
12,1898,516.5
13,1899,780.3
14,1900,648.8
15,1901,463.6
16,1902,894.9
17,1903,970.3
18,1904,859.6
19,1905,805.1
20,1906,505.8
21,1907,610.8
22,1908,1063.4
23,1909,827.5
24,1910,577.9
25,1911,619.7
26,1912,606.3
27,1913,609.5
28,1914,467.2
29,1915,953.2
30,1916,509.0
31,1917,388.2
32,1918,617.8
33,1919,667.8
34,1920,622.0
35,1921,483.2
36,1922,592.2
37,1923,773.1
38,1924,450.1
39,1925,553.1
40,1926,508.3
41,1927,763.3
42,1928,733.3
43,1929,665.4
44,1930,634.8
45,1931,674.9
46,1932,691.9
47,1933,508.6
48,1934,388.6
49,1935,852.2
50,1936,407.7
51,1937,469.7
52,1938,693.2
53,1939,505.8
54,1940,463.2
55,1941,773.5
56,1942,719.6
57,1943,612.0
58,1944,935.2
59,1945,729.2
60,1946,830.7
61,1947,607.3
62,1948,664.3
63,1949,635.8
64,1950,650.0
65,1951,642.9
66,1952,646.4
67,1953,644.6
68,1954,645.5
69,1955,645.0
70,1956,645.2
71,1957,645.1
72,1958,645.2
73,1959,645.2
74,1960,645.2
75,1961,645.2
76,1962,645.2
77,1963,645.2
78,1964,590.9
79,1965,727.0
80,1966,844.4
81,1967,385.2
82,1968,972.0
83,1969,762.4
84,1970,750.5
85,1971,725.6
86,1972,896.3
87,1973,831.3
88,1974,1128.4
89,1975,402.7
90,1976,638.3
91,1977,443.2
92,1978,896.1
93,1979,771.7
94,1980,675.2
95,1981,494.3
96,1982,856.1
97,1983,940.1
98,1984,650.4
99,1985,730.0
100,1986,654.6
101,1987,1021.0
102,1988,867.1
103,1989,369.7
104,1990,630.6
105,1991,652.3
106,1992,507.0
107,1993,1055.4
108,1994,1138.4
109,1995,487.1
110,1996,692.6
111,1997,720.0
112,1998,677.1
113,1999,836.3
114,2000,647.3
115,2001,460.9
116,2002,691.4
117,2003,457.7
118,2004,614.1
119,2005,624.2
120,2006,680.6
121,2007,608.7
122,2008,753.1
123,2009,849.2
124,2010,681.1
125,2011,815.2
126,2012,788.4
127,2013,610.0
128,2014,691.0
129,2015,691.6
130,2016,746.2
131,2017,763.0
132,2018,934.7
133,2019,860.3
134,2020,884.5
135,2021,664.1
